link_id,Node1           ,Node2           
 PIPE_25635      ,A200            ,A405            
 PIPE_22389      ,A412            ,AD10031-01-01   
 PIPE_19893      ,A413            ,A414            
 PIPE_30871      ,A415            ,A416            
 PIPE_23948      ,A417            ,A418            
 PIPE_21507      ,A1819           ,A417            
 PIPE_25143      ,A419            ,A420            
 PIPE_20942      ,A421            ,A419            
 PIPE_19961      ,A422            ,A421            
 PIPE_26780      ,AD11233-01-01   ,A424            
 PIPE_30262      ,A796            ,A425            
 PIPE_22168      ,A426            ,A427            
 PIPE_25192      ,A428            ,AD10239         
 PIPE_17810      ,A429            ,A3455           
 PIPE_20742      ,A440            ,AD10391-01-01   
 PIPE_22292      ,A431            ,AD10408-01-01   
 PIPE_22029      ,A1203           ,A432            
 PIPE_21797      ,A433            ,AD10086-03-01   
 PIPE_19322      ,A434            ,A435            
 PIPE_25334      ,A432            ,AD10383-01-01   
 PIPE_29161      ,A3668           ,A436            
 PIPE_18862      ,A437            ,A1283           
 PIPE_25588      ,A2355           ,AD11255-02-01   
 PIPE_18666      ,A439            ,A440            
 PIPE_18760      ,A1135           ,A441            
 PIPE_24359      ,A442            ,AD10274         
 PIPE_17626      ,A443            ,A444            
 PIPE_22867      ,A437            ,A445            
 PIPE_22650      ,A446            ,A447            
 PIPE_31717      ,A448            ,A449            
 PIPE_15208      ,A449            ,A2618           
 PIPE_27180      ,A450            ,AD10204-01-01   
 PIPE_19335      ,A452            ,A453            
 PIPE_20485      ,A12             ,A454            
 PIPE_23225      ,A455            ,A456            
 PIPE_24529      ,A457            ,A458            
 PIPE_18593      ,A459            ,AD10875-01-01   
 PIPE_19691      ,A3467           ,A460            
 PIPE_23594      ,A461            ,A371            
 PIPE_22572      ,A462            ,A461            
 PIPE_23798      ,A463            ,A464            
 PIPE_17804      ,A1954           ,A465            
 PIPE_18343      ,A467            ,A466            
 PIPE_24971      ,A619            ,A286            
 PIPE_27000      ,A468            ,A179            
 PIPE_22502      ,A1953           ,AD10049-02-01   
 PIPE_24176      ,A1937           ,A470            
 PIPE_29579      ,A799            ,A471            
 PIPE_30218      ,A1738           ,A472            
 PIPE_18431      ,A1848           ,AD11092-01-01   
 PIPE_17620      ,A308            ,A474            
 PIPE_21338      ,A471            ,A475            
